FRQ, BETA, SPEED, GROUP, Mode, Mod(F), Pha(F), Re(F), Im(F) 
5.400000e-01, 0.000000, 0.000000, 0, 4, 5.793771e-01, -93.477635, -3.514439e-02, -5.783102e-01 
5.400000e-01, 0.000000, 0.000000, 0, 5, 1.908417e+04, -168.229711, -1.868289e+04, -3.892949e+03 
5.400000e-01, 0.000000, 0.000000, 0, 6, 1.150211e+01, -60.511023, 5.661984e+00, -1.001202e+01 
5.700000e-01, 0.000000, 0.000000, 0, 1, 1.256795e+03, -107.429515, -3.764507e+02, -1.199091e+03 
5.700000e-01, 0.000000, 0.000000, 0, 2, 7.103021e-02, 163.453072, -6.808862e-02, 2.022944e-02 
5.700000e-01, 0.000000, 0.000000, 0, 3, 1.775706e+03, -169.232941, -1.744444e+03, -3.317311e+02 
5.700000e-01, 0.000000, 0.000000, 0, 4, 6.791488e-01, -39.521284, 5.238874e-01, -4.321864e-01 
5.700000e-01, 0.000000, 0.000000, 0, 5, 1.341913e+05, -87.070558, 6.857999e+03, -1.340159e+05 
5.700000e-01, 0.000000, 0.000000, 0, 6, 1.236624e+01, -37.696595, 9.784912e+00, -7.561711e+00 
6.000000e-01, 0.000000, 0.000000, 0, 1, 1.172098e+03, -112.690646, -4.521430e+02, -1.081379e+03 
6.000000e-01, 0.000000, 0.000000, 0, 2, 8.899778e-02, -167.836357, -8.699976e-02, -1.875224e-02 
6.000000e-01, 0.000000, 0.000000, 0, 3, 1.050246e+03, -163.244526, -1.005657e+03, -3.027731e+02 
6.000000e-01, 0.000000, 0.000000, 0, 4, 1.020285e+00, -7.350482, 1.011900e+00, -1.305337e-01 
6.000000e-01, 0.000000, 0.000000, 0, 5, 2.020087e+05, -80.714815, 3.259383e+04, -1.993619e+05 
6.000000e-01, 0.000000, 0.000000, 0, 6, 1.214558e+01, -11.272468, 1.191128e+01, -2.374157e+00 
6.300000e-01, 0.000000, 0.000000, 0, 1, 8.096362e+02, -121.137307, -4.186554e+02, -6.929924e+02 
6.300000e-01, 0.000000, 0.000000, 0, 2, 1.042245e-01, -144.044763, -8.436727e-02, -6.119576e-02 
6.300000e-01, 0.000000, 0.000000, 0, 3, 2.427081e+02, -129.852294, -1.555299e+02, -1.863267e+02 
6.300000e-01, 0.000000, 0.000000, 0, 4, 1.287658e+00, 12.390777, 1.257665e+00, 2.763033e-01 
6.300000e-01, 0.000000, 0.000000, 0, 5, 2.003529e+05, -75.548419, 5.000043e+04, -1.940135e+05 
6.300000e-01, 0.000000, 0.000000, 0, 6, 1.165335e+01, 23.559747, 1.068197e+01, 4.657904e+00 
6.600000e-01, 0.000000, 0.000000, 0, 1, 3.146538e+02, -149.945248, -2.723477e+02, -1.575872e+02 
6.600000e-01, 0.000000, 0.000000, 0, 2, 1.072483e-01, -120.097461, -5.378207e-02, -9.278842e-02 
6.600000e-01, 0.000000, 0.000000, 0, 3, 5.395002e+02, -1.337830, 5.393532e+02, -1.259594e+01 
6.600000e-01, 0.000000, 0.000000, 0, 4, 1.311302e+00, 31.085733, 1.122993e+00, 6.770513e-01 
6.600000e-01, 0.000000, 0.000000, 0, 5, 1.403204e+05, -68.468100, 5.150028e+04, -1.305279e+05 
6.600000e-01, 0.000000, 0.000000, 0, 6, 1.282516e+01, 64.228306, 5.576205e+00, 1.154949e+01 
6.900000e-01, 0.000000, 0.000000, 0, 1, 3.456434e+02, 98.420241, -5.061342e+01, 3.419175e+02 
6.900000e-01, 0.000000, 0.000000, 0, 2, 9.808488e-02, -88.819913, 2.020053e-03, -9.806408e-02 
6.900000e-01, 0.000000, 0.000000, 0, 3, 8.942835e+02, 10.054805, 8.805484e+02, 1.561330e+02 
6.900000e-01, 0.000000, 0.000000, 0, 4, 1.085324e+00, 58.026219, 5.747130e-01, 9.206702e-01 
6.900000e-01, 0.000000, 0.000000, 0, 5, 5.128692e+04, -47.837105, 3.442587e+04, -3.801589e+04 
6.900000e-01, 0.000000, 0.000000, 0, 6, 1.581161e+01, 98.953935, -2.460925e+00, 1.561893e+01 
7.200000e-01, 0.000000, 0.000000, 0, 1, 6.507834e+02, 74.573191, 1.731131e+02, 6.273363e+02 
7.200000e-01, 0.000000, 0.000000, 0, 2, 9.582710e-02, -44.739790, 6.806702e-02, -6.745156e-02 
7.200000e-01, 0.000000, 0.000000, 0, 3, 8.448532e+02, 17.001062, 8.079325e+02, 2.470261e+02 
7.200000e-01, 0.000000, 0.000000, 0, 4, 9.065429e-01, 106.633078, -2.594903e-01, 8.686109e-01 
7.200000e-01, 0.000000, 0.000000, 0, 5, 4.675677e+04, 85.095623, 3.997379e+03, 4.658558e+04 
7.200000e-01, 0.000000, 0.000000, 0, 6, 1.807008e+01, 126.868411, -1.084167e+01, 1.445634e+01 
7.500000e-01, 0.000000, 0.000000, 0, 1, 6.799143e+02, 62.481588, 3.141433e+02, 6.029904e+02 
7.500000e-01, 0.000000, 0.000000, 0, 2, 1.191582e-01, -2.291755, 1.190629e-01, -4.764898e-03 
7.500000e-01, 0.000000, 0.000000, 0, 3, 4.744809e+02, 26.638426, 4.241166e+02, 2.127376e+02 
7.500000e-01, 0.000000, 0.000000, 0, 4, 1.186002e+00, 156.824177, -1.090294e+00, 4.667560e-01 
7.500000e-01, 0.000000, 0.000000, 0, 5, 9.590112e+04, 106.367016, -2.702389e+04, 9.201485e+04 
7.500000e-01, 0.000000, 0.000000, 0, 6, 1.753963e+01, 155.621461, -1.597576e+01, 7.239714e+00 
7.800000e-01, 0.000000, 0.000000, 0, 1, 4.416224e+02, 44.531770, 3.148157e+02, 3.097118e+02 
7.800000e-01, 0.000000, 0.000000, 0, 2, 1.456226e-01, 28.390999, 1.281076e-01, 6.924150e-02 
7.800000e-01, 0.000000, 0.000000, 0, 3, 8.137878e+01, 126.873871, -4.883178e+01, 6.509963e+01 
7.800000e-01, 0.000000, 0.000000, 0, 4, 1.562077e+00, -172.881926, -1.550038e+00, -1.935641e-01 
7.800000e-01, 0.000000, 0.000000, 0, 5, 9.604372e+04, 116.828462, -4.334654e+04, 8.570574e+04 
7.800000e-01, 0.000000, 0.000000, 0, 6, 1.536780e+01, -164.161417, -1.478435e+01, -4.194304e+00 
8.100000e-01, 0.000000, 0.000000, 0, 1, 1.967655e+02, -24.861220, 1.785310e+02, -8.272452e+01 
8.100000e-01, 0.000000, 0.000000, 0, 2, 1.459717e-01, 56.466923, 8.063746e-02, 1.216772e-01 
8.100000e-01, 0.000000, 0.000000, 0, 3, 3.905301e+02, -162.494147, -3.724431e+02, -1.174727e+02 
8.100000e-01, 0.000000, 0.000000, 0, 4, 1.607734e+00, -147.356822, -1.353786e+00, -8.672206e-01 
8.100000e-01, 0.000000, 0.000000, 0, 5, 5.318701e+04, 131.896029, -3.551727e+04, 3.959016e+04 
8.100000e-01, 0.000000, 0.000000, 0, 6, 1.667325e+01, -113.258281, -6.583877e+00, -1.531828e+01 
8.400000e-01, 0.000000, 0.000000, 0, 1, 3.577541e+02, -93.656161, -2.281353e+01, -3.570260e+02 
8.400000e-01, 0.000000, 0.000000, 0, 2, 1.225108e-01, 95.873658, -1.253717e-02, 1.218676e-01 
8.400000e-01, 0.000000, 0.000000, 0, 3, 4.680621e+02, -151.284683, -4.104988e+02, -2.248842e+02 
