FRQ, BETA, SPEED, GROUP, Mode, Mod(Xi), Pha(Xi), Re(Xi), Im(Xi) 
9.900000e-01, 0.000000, 0.000000, 0, 2, 1.178284e-05, -170.078463, -1.160662e-05, -2.030176e-06 
9.900000e-01, 0.000000, 0.000000, 0, 3, 8.001223e-03, 9.099747, 7.900524e-03, 1.265423e-03 
9.900000e-01, 0.000000, 0.000000, 0, 4, 1.408919e-07, 7.913060, 1.395504e-07, 1.939663e-08 
9.900000e-01, 0.000000, 0.000000, 0, 5, 1.735098e-04, 1.158690, 1.734743e-04, 3.508643e-06 
9.900000e-01, 0.000000, 0.000000, 0, 6, 1.065641e-07, 29.341744, 9.289325e-08, 5.221829e-08 
1.020000e+00, 0.000000, 0.000000, 0, 1, 2.105684e-03, 65.419785, 8.758947e-04, 1.914867e-03 
1.020000e+00, 0.000000, 0.000000, 0, 2, 6.189225e-06, -111.510382, -2.269402e-06, -5.758153e-06 
1.020000e+00, 0.000000, 0.000000, 0, 3, 5.831285e-03, 65.168086, 2.448893e-03, 5.292146e-03 
1.020000e+00, 0.000000, 0.000000, 0, 4, 1.482722e-07, 50.998147, 9.331446e-08, 1.152261e-07 
1.020000e+00, 0.000000, 0.000000, 0, 5, 1.216301e-04, 72.772319, 3.602314e-05, 1.161732e-04 
1.020000e+00, 0.000000, 0.000000, 0, 6, 1.886094e-07, 68.035624, 7.054559e-08, 1.749195e-07 
1.050000e+00, 0.000000, 0.000000, 0, 1, 1.440056e-03, 139.880903, -1.101220e-03, 9.279410e-04 
1.050000e+00, 0.000000, 0.000000, 0, 2, 7.591255e-06, -56.429278, 4.197705e-06, -6.325063e-06 
1.050000e+00, 0.000000, 0.000000, 0, 3, 4.333327e-03, 130.393590, -2.808146e-03, 3.300308e-03 
1.050000e+00, 0.000000, 0.000000, 0, 4, 9.952780e-08, 102.034729, -2.075200e-08, 9.734032e-08 
1.050000e+00, 0.000000, 0.000000, 0, 5, 1.152607e-04, 129.557358, -7.340382e-05, 8.886455e-05 
1.050000e+00, 0.000000, 0.000000, 0, 6, 1.033701e-07, 115.590445, -4.464922e-08, 9.323000e-08 
1.080000e+00, 0.000000, 0.000000, 0, 1, 1.487714e-03, -154.191362, -1.339319e-03, -6.477014e-04 
1.080000e+00, 0.000000, 0.000000, 0, 2, 4.811253e-06, -37.104697, 3.837140e-06, -2.902501e-06 
1.080000e+00, 0.000000, 0.000000, 0, 3, 3.572520e-03, -168.682650, -3.503054e-03, -7.010824e-04 
1.080000e+00, 0.000000, 0.000000, 0, 4, 9.994481e-08, 148.873553, -8.555561e-08, 5.166432e-08 
1.080000e+00, 0.000000, 0.000000, 0, 5, 7.323090e-05, -175.015721, -7.295399e-05, -6.362477e-06 
1.080000e+00, 0.000000, 0.000000, 0, 6, 1.340481e-07, 173.245262, -1.331176e-07, 1.576667e-08 
1.110000e+00, 0.000000, 0.000000, 0, 1, 4.118979e-04, -119.075436, -2.001662e-04, -3.599908e-04 
