FRQ, BETA, SPEED, GROUP, Mode, Mod(F), Pha(F), Re(F), Im(F) 
6.000000e-01, 0.000000, 0.000000, 0, 5, 8.968113e+04, 43.328400, 6.523699e+04, 6.153731e+04 
6.000000e-01, 0.000000, 0.000000, 0, 6, 4.780896e+00, -92.219003, -1.851126e-01, -4.777311e+00 
6.300000e-01, 0.000000, 0.000000, 0, 1, 7.337487e+02, 34.167089, 6.071061e+02, 4.120793e+02 
6.300000e-01, 0.000000, 0.000000, 0, 2, 5.421351e-02, 93.972885, -3.756149e-03, 5.408324e-02 
6.300000e-01, 0.000000, 0.000000, 0, 3, 8.160661e+02, -21.429182, 7.596514e+02, -2.981505e+02 
6.300000e-01, 0.000000, 0.000000, 0, 4, 2.730788e-01, -102.122460, -5.734705e-02, -2.669894e-01 
6.300000e-01, 0.000000, 0.000000, 0, 5, 1.346510e+05, 52.423876, 8.211222e+04, 1.067169e+05 
6.300000e-01, 0.000000, 0.000000, 0, 6, 4.828744e+00, -53.404419, 2.878718e+00, -3.876822e+00 
6.600000e-01, 0.000000, 0.000000, 0, 1, 5.298507e+02, 23.329937, 4.865299e+02, 2.098343e+02 
6.600000e-01, 0.000000, 0.000000, 0, 2, 4.375193e-02, 116.316019, -1.939619e-02, 3.921759e-02 
6.600000e-01, 0.000000, 0.000000, 0, 3, 3.313881e+02, 21.038091, 3.092984e+02, 1.189645e+02 
6.600000e-01, 0.000000, 0.000000, 0, 4, 4.012402e-02, -71.280688, 1.287709e-02, -3.800155e-02 
6.600000e-01, 0.000000, 0.000000, 0, 5, 1.327957e+05, 60.258827, 6.587765e+04, 1.153032e+05 
6.600000e-01, 0.000000, 0.000000, 0, 6, 5.773306e+00, -15.343802, 5.567519e+00, -1.527677e+00 
6.900000e-01, 0.000000, 0.000000, 0, 1, 2.183245e+02, -12.227569, 2.133716e+02, -4.624005e+01 
6.900000e-01, 0.000000, 0.000000, 0, 2, 3.085888e-02, 151.664267, -2.716142e-02, 1.464678e-02 
6.900000e-01, 0.000000, 0.000000, 0, 3, 4.238329e+02, 108.863937, -1.370345e+02, 4.010685e+02 
6.900000e-01, 0.000000, 0.000000, 0, 4, 1.508250e-01, 61.241347, 7.256510e-02, 1.322214e-01 
6.900000e-01, 0.000000, 0.000000, 0, 5, 9.335737e+04, 72.359516, 2.829133e+04, 8.896741e+04 
6.900000e-01, 0.000000, 0.000000, 0, 6, 6.671823e+00, 5.988428, 6.635415e+00, 6.960553e-01 
7.200000e-01, 0.000000, 0.000000, 0, 1, 2.886712e+02, -115.116742, -1.225305e+02, -2.613758e+02 
7.200000e-01, 0.000000, 0.000000, 0, 2, 2.661989e-02, -144.916207, -2.178338e-02, -1.530041e-02 
7.200000e-01, 0.000000, 0.000000, 0, 3, 6.201963e+02, 134.389471, -4.338472e+02, 4.431931e+02 
7.200000e-01, 0.000000, 0.000000, 0, 4, 1.984609e-01, 61.003562, 9.620497e-02, 1.735838e-01 
7.200000e-01, 0.000000, 0.000000, 0, 5, 3.965984e+04, 107.271044, -1.177470e+04, 3.787162e+04 
7.200000e-01, 0.000000, 0.000000, 0, 6, 5.393893e+00, 19.244141, 5.092497e+00, 1.777795e+00 
7.500000e-01, 0.000000, 0.000000, 0, 1, 5.166389e+02, -139.043014, -3.901667e+02, -3.386528e+02 
7.500000e-01, 0.000000, 0.000000, 0, 2, 4.289770e-02, -109.997929, -1.467042e-02, -4.031118e-02 
7.500000e-01, 0.000000, 0.000000, 0, 3, 5.703620e+02, 151.881148, -5.030432e+02, 2.688128e+02 
7.500000e-01, 0.000000, 0.000000, 0, 4, 1.670894e-01, 11.398556, 1.637937e-01, 3.302231e-02 
7.500000e-01, 0.000000, 0.000000, 0, 5, 3.978897e+04, -154.221433, -3.582923e+04, -1.730399e+04 
7.500000e-01, 0.000000, 0.000000, 0, 6, 2.229313e+00, 21.669107, 2.071772e+00, 8.231644e-01 
7.800000e-01, 0.000000, 0.000000, 0, 1, 5.228941e+02, -152.497615, -4.638027e+02, -2.414649e+02 
7.800000e-01, 0.000000, 0.000000, 0, 2, 4.775404e-02, -107.434149, -1.430756e-02, -4.556031e-02 
7.800000e-01, 0.000000, 0.000000, 0, 3, 3.390094e+02, 177.989250, -3.388007e+02, 1.189482e+01 
7.800000e-01, 0.000000, 0.000000, 0, 4, 3.678654e-01, -46.194320, 2.546418e-01, -2.654854e-01 
7.800000e-01, 0.000000, 0.000000, 0, 5, 6.415729e+04, -121.251870, -3.328488e+04, -5.484774e+04 
7.800000e-01, 0.000000, 0.000000, 0, 6, 2.515956e+00, -120.338465, -1.270827e+00, -2.171413e+00 
8.100000e-01, 0.000000, 0.000000, 0, 1, 3.086394e+02, -174.745900, -3.073426e+02, -2.826299e+01 
8.100000e-01, 0.000000, 0.000000, 0, 2, 4.279245e-02, -124.588440, -2.429232e-02, -3.522892e-02 
8.100000e-01, 0.000000, 0.000000, 0, 3, 1.860033e+02, -102.530774, -4.035601e+01, -1.815726e+02 
8.100000e-01, 0.000000, 0.000000, 0, 4, 5.242130e-01, -49.893296, 3.377049e-01, -4.009422e-01 
8.100000e-01, 0.000000, 0.000000, 0, 5, 6.214533e+04, -100.084361, -1.088152e+04, -6.118525e+04 
8.100000e-01, 0.000000, 0.000000, 0, 6, 4.741463e+00, -128.014775, -2.920099e+00, -3.735571e+00 
8.400000e-01, 0.000000, 0.000000, 0, 1, 1.831790e+02, 93.062695, -9.787008e+00, 1.829174e+02 
8.400000e-01, 0.000000, 0.000000, 0, 2, 4.605778e-02, -172.357497, -4.564865e-02, -6.125300e-03 
8.400000e-01, 0.000000, 0.000000, 0, 3, 2.920841e+02, -36.817498, 2.338275e+02, -1.750367e+02 
8.400000e-01, 0.000000, 0.000000, 0, 4, 4.415156e-01, -14.100920, 4.282119e-01, -1.075667e-01 
8.400000e-01, 0.000000, 0.000000, 0, 5, 3.488105e+04, -72.178949, 1.067517e+04, -3.320735e+04 
8.400000e-01, 0.000000, 0.000000, 0, 6, 2.016672e+00, 172.479006, -1.999322e+00, 2.639611e-01 
8.700000e-01, 0.000000, 0.000000, 0, 1, 3.604009e+02, 44.601225, 2.566094e+02, 2.530621e+02 
8.700000e-01, 0.000000, 0.000000, 0, 2, 3.042188e-02, -171.072978, -3.005337e-02, -4.720754e-03 
8.700000e-01, 0.000000, 0.000000, 0, 3, 3.299014e+02, -12.161745, 3.224974e+02, -6.950104e+01 
8.700000e-01, 0.000000, 0.000000, 0, 4, 5.914592e-01, 47.736951, 3.977772e-01, 4.377182e-01 
8.700000e-01, 0.000000, 0.000000, 0, 5, 2.036707e+04, 20.321644, 1.909938e+04, 7.073277e+03 
8.700000e-01, 0.000000, 0.000000, 0, 6, 6.401060e+00, 73.980703, 1.766443e+00, 6.152499e+00 
9.000000e-01, 0.000000, 0.000000, 0, 1, 3.613463e+02, 25.225239, 3.268881e+02, 1.539978e+02 
9.000000e-01, 0.000000, 0.000000, 0, 2, 1.184494e-02, -45.436681, 8.311563e-03, -8.439232e-03 
9.000000e-01, 0.000000, 0.000000, 0, 3, 2.135261e+02, 20.379619, 2.001607e+02, 7.435804e+01 
9.000000e-01, 0.000000, 0.000000, 0, 4, 1.089477e+00, 92.350634, -4.468467e-02, 1.088560e+00 
9.000000e-01, 0.000000, 0.000000, 0, 5, 4.045637e+04, 79.794879, 7.167765e+03, 3.981634e+04 
9.000000e-01, 0.000000, 0.000000, 0, 6, 1.576773e+01, 85.737334, 1.171999e+00, 1.572412e+01 
9.300000e-01, 0.000000, 0.000000, 0, 1, 1.677918e+02, -14.792675, 1.622305e+02, -4.284097e+01 
9.300000e-01, 0.000000, 0.000000, 0, 2, 1.471278e-01, -5.876814, 1.463545e-01, -1.506441e-02 
9.300000e-01, 0.000000, 0.000000, 0, 3, 1.176878e+02, 135.958976, -8.459893e+01, 8.181338e+01 
9.300000e-01, 0.000000, 0.000000, 0, 4, 1.206647e+00, 122.333118, -6.453640e-01, 1.019560e+00 
9.300000e-01, 0.000000, 0.000000, 0, 5, 4.333956e+04, 106.769101, -1.250413e+04, 4.149655e+04 
9.300000e-01, 0.000000, 0.000000, 0, 6, 1.436587e+01, 83.592547, 1.603205e+00, 1.427613e+01 
9.600000e-01, 0.000000, 0.000000, 0, 1, 2.454225e+02, -112.298456, -9.312097e+01, -2.270698e+02 
9.600000e-01, 0.000000, 0.000000, 0, 2, 1.462503e-01, -56.803322, 8.007421e-02, -1.223817e-01 
9.600000e-01, 0.000000, 0.000000, 0, 3, 2.994011e+02, -163.172170, -2.865804e+02, -8.667565e+01 
9.600000e-01, 0.000000, 0.000000, 0, 4, 1.984042e+00, -145.591599, -1.636895e+00, -1.121158e+00 
9.600000e-01, 0.000000, 0.000000, 0, 5, 1.486670e+04, -175.416158, -1.481915e+04, -1.188114e+03 
9.600000e-01, 0.000000, 0.000000, 0, 6, 3.905181e+01, -119.175157, -1.903702e+01, -3.409745e+01 
9.900000e-01, 0.000000, 0.000000, 0, 1, 3.046903e+02, -144.526618, -2.481353e+02, -1.768193e+02 
