FRQ, I, J, Added Mass, Radiation Damping 
2.70E-01,2,5,2.12E+02,-4.66E-01
2.70E-01,2,6,3.55E+06,3.52E+05
2.70E-01,3,1,1.45E+04,2.27E+02
2.70E-01,3,2,-2.99E-01,5.11E-01
2.70E-01,3,3,5.60E+05,3.66E+05
2.70E-01,3,4,1.10E+01,1.54E+00
2.70E-01,3,5,-8.92E+05,7.25E+05
2.70E-01,3,6,-8.16E+01,-3.20E+02
2.70E-01,4,1,-3.45E+00,7.39E-01
2.70E-01,4,2,2.40E+05,-2.34E+04
2.70E-01,4,3,-2.33E+00,2.04E+01
2.70E-01,4,4,2.72E+07,5.25E+04
2.70E-01,4,5,-7.58E+02,3.04E+02
2.70E-01,4,6,3.78E+07,4.96E+04
2.70E-01,5,1,6.23E+06,1.84E+06
2.70E-01,5,2,2.39E+02,9.69E+01
2.70E-01,5,3,-8.95E+05,6.91E+05
2.70E-01,5,4,-2.18E+03,-1.05E+03
2.70E-01,5,5,3.37E+09,6.31E+08
2.70E-01,5,6,-3.00E+04,-1.22E+04
2.70E-01,6,1,-6.42E+00,1.72E+01
2.70E-01,6,2,3.55E+06,3.58E+05
2.70E-01,6,3,-1.88E+02,9.86E+01
2.70E-01,6,4,3.77E+07,-3.63E+04
2.70E-01,6,5,-1.81E+04,5.86E+03
2.70E-01,6,6,1.61E+09,1.74E+07
3.00E-01,1,1,2.32E+04,7.71E+03
3.00E-01,1,2,8.41E-01,4.08E-01
3.00E-01,1,3,1.51E+04,1.28E+03
3.00E-01,1,4,-7.67E+00,-4.14E+00
3.00E-01,1,5,6.05E+06,2.59E+06
3.00E-01,1,6,-3.54E+01,-4.32E+01
3.00E-01,2,1,8.95E-01,4.39E-02
3.00E-01,2,2,3.49E+05,5.68E+04
3.00E-01,2,3,2.47E+00,-4.64E-02
3.00E-01,2,4,2.25E+05,-4.40E+04
3.00E-01,2,5,2.22E+02,1.58E+00
3.00E-01,2,6,3.83E+06,6.55E+05
3.00E-01,3,1,1.50E+04,1.31E+03
3.00E-01,3,2,-4.38E-01,2.27E-01
3.00E-01,3,3,4.99E+05,3.64E+05
3.00E-01,3,4,1.15E+01,3.62E+00
3.00E-01,3,5,-9.12E+05,9.35E+05
3.00E-01,3,6,-1.32E+01,-2.86E+02
3.00E-01,4,1,-3.71E+00,1.14E+00
3.00E-01,4,2,2.64E+05,-3.18E+04
3.00E-01,4,3,-6.74E+00,1.99E+01
3.00E-01,4,4,2.72E+07,7.62E+04
3.00E-01,4,5,-8.36E+02,4.48E+02
3.00E-01,4,6,3.99E+07,4.60E+05
3.00E-01,5,1,6.04E+06,2.58E+06
3.00E-01,5,2,2.17E+02,1.30E+02
3.00E-01,5,3,-9.13E+05,9.08E+05
3.00E-01,5,4,-1.95E+03,-1.44E+03
3.00E-01,5,5,3.30E+09,8.79E+08
3.00E-01,5,6,-2.69E+04,-1.64E+04
3.00E-01,6,1,-8.09E+00,2.65E+01
3.00E-01,6,2,3.84E+06,6.65E+05
3.00E-01,6,3,-2.18E+02,9.83E+01
3.00E-01,6,4,3.98E+07,3.14E+05
3.00E-01,6,5,-2.02E+04,8.66E+03
3.00E-01,6,6,1.70E+09,4.32E+07
3.30E-01,1,1,2.21E+04,9.86E+03
3.30E-01,1,2,7.50E-01,4.85E-01
3.30E-01,1,3,1.53E+04,2.68E+03
3.30E-01,1,4,-6.55E+00,-4.85E+00
3.30E-01,1,5,5.59E+06,3.26E+06
3.30E-01,1,6,-1.64E+01,-4.73E+01
3.30E-01,2,1,9.56E-01,9.10E-02
3.30E-01,2,2,3.62E+05,9.37E+04
3.30E-01,2,3,2.67E+00,2.06E-01
3.30E-01,2,4,2.59E+05,-5.26E+04
3.30E-01,2,5,2.32E+02,6.32E+00
3.30E-01,2,6,4.08E+06,1.12E+06
3.30E-01,3,1,1.52E+04,2.71E+03
3.30E-01,3,2,-4.14E-01,-9.33E-02
3.30E-01,3,3,4.43E+05,3.49E+05
3.30E-01,3,4,1.10E+01,5.99E+00
3.30E-01,3,5,-9.79E+05,1.13E+06
3.30E-01,3,6,3.48E+01,-2.30E+02
3.30E-01,4,1,-4.22E+00,1.49E+00
3.30E-01,4,2,3.00E+05,-3.27E+04
3.30E-01,4,3,-1.07E+01,1.81E+01
3.30E-01,4,4,2.74E+07,1.09E+05
3.30E-01,4,5,-9.86E+02,5.90E+02
3.30E-01,4,6,4.27E+07,1.57E+06
3.30E-01,5,1,5.59E+06,3.25E+06
3.30E-01,5,2,1.80E+02,1.51E+02
3.30E-01,5,3,-9.80E+05,1.11E+06
3.30E-01,5,4,-1.54E+03,-1.72E+03
3.30E-01,5,5,3.16E+09,1.10E+09
3.30E-01,5,6,-2.18E+04,-1.91E+04
3.30E-01,6,1,-1.42E+01,3.58E+01
3.30E-01,6,2,4.09E+06,1.13E+06
3.30E-01,6,3,-2.50E+02,8.86E+01
3.30E-01,6,4,4.26E+07,1.34E+06
3.30E-01,6,5,-2.41E+04,1.11E+04
3.30E-01,6,6,1.81E+09,9.79E+07
3.60E-01,1,1,2.05E+04,1.15E+04
3.60E-01,1,2,6.52E-01,5.07E-01
3.60E-01,1,3,1.47E+04,4.09E+03
3.60E-01,1,4,-5.28E+00,-4.91E+00
3.60E-01,1,5,4.93E+06,3.75E+06
3.60E-01,1,6,4.38E+00,-4.01E+01
3.60E-01,2,1,1.01E+00,1.64E-01
3.60E-01,2,2,3.64E+05,1.40E+05
3.60E-01,2,3,2.74E+00,5.36E-01
3.60E-01,2,4,3.07E+05,-4.54E+04
3.60E-01,2,5,2.42E+02,1.32E+01
3.60E-01,2,6,4.20E+06,1.74E+06
3.60E-01,3,1,1.46E+04,4.12E+03
3.60E-01,3,2,-2.25E-01,-3.30E-01
3.60E-01,3,3,3.94E+05,3.24E+05
3.60E-01,3,4,9.50E+00,8.01E+00
3.60E-01,3,5,-1.07E+06,1.29E+06
3.60E-01,3,6,5.05E+01,-1.64E+02
3.60E-01,4,1,-4.97E+00,1.67E+00
3.60E-01,4,2,3.48E+05,-1.60E+04
3.60E-01,4,3,-1.36E+01,1.54E+01
3.60E-01,4,4,2.75E+07,1.64E+05
3.60E-01,4,5,-1.21E+03,7.04E+02
3.60E-01,4,6,4.60E+07,3.97E+06
3.60E-01,5,1,4.93E+06,3.74E+06
3.60E-01,5,2,1.40E+02,1.53E+02
3.60E-01,5,3,-1.07E+06,1.27E+06
3.60E-01,5,4,-1.02E+03,-1.81E+03
3.60E-01,5,5,2.95E+09,1.27E+09
3.60E-01,5,6,-1.56E+04,-1.91E+04
3.60E-01,6,1,-2.50E+01,4.25E+01
3.60E-01,6,2,4.20E+06,1.76E+06
3.60E-01,6,3,-2.80E+02,6.76E+01
3.60E-01,6,4,4.59E+07,3.64E+06
3.60E-01,6,5,-2.98E+04,1.23E+04
3.60E-01,6,6,1.93E+09,2.02E+08
3.90E-01,1,1,1.85E+04,1.25E+04
3.90E-01,1,2,5.81E-01,4.89E-01
3.90E-01,1,3,1.35E+04,5.06E+03
3.90E-01,1,4,-4.33E+00,-4.31E+00
3.90E-01,1,5,4.16E+06,4.00E+06
3.90E-01,1,6,1.82E+01,-2.12E+01
3.90E-01,2,1,1.02E+00,2.49E-01
3.90E-01,2,2,3.47E+05,1.89E+05
3.90E-01,2,3,2.64E+00,8.17E-01
3.90E-01,2,4,3.58E+05,-1.22E+04
3.90E-01,2,5,2.49E+02,1.96E+01
3.90E-01,2,6,4.08E+06,2.46E+06
3.90E-01,3,1,1.35E+04,5.09E+03
3.90E-01,3,2,2.52E-02,-3.94E-01
3.90E-01,3,3,3.56E+05,2.91E+05
3.90E-01,3,4,7.23E+00,8.90E+00
3.90E-01,3,5,-1.15E+06,1.42E+06
3.90E-01,3,6,3.22E+01,-1.09E+02
3.90E-01,4,1,-5.85E+00,1.55E+00
3.90E-01,4,2,3.95E+05,2.71E+04
3.90E-01,4,3,-1.52E+01,1.25E+01
3.90E-01,4,4,2.77E+07,2.68E+05
3.90E-01,4,5,-1.51E+03,7.56E+02
3.90E-01,4,6,4.91E+07,8.30E+06
3.90E-01,5,1,4.17E+06,3.99E+06
3.90E-01,5,2,1.08E+02,1.40E+02
3.90E-01,5,3,-1.15E+06,1.40E+06
3.90E-01,5,4,-4.84E+02,-1.67E+03
3.90E-01,5,5,2.72E+09,1.38E+09
3.90E-01,5,6,-1.00E+04,-1.59E+04
3.90E-01,6,1,-3.87E+01,4.34E+01
3.90E-01,6,2,4.07E+06,2.48E+06
3.90E-01,6,3,-3.01E+02,3.61E+01
3.90E-01,6,4,4.91E+07,7.88E+06
3.90E-01,6,5,-3.68E+04,1.10E+04
3.90E-01,6,6,2.05E+09,3.79E+08
4.20E-01,1,1,1.66E+04,1.28E+04
